id	lead1_worker1	full_worker1	lead1_worker2	full_worker2	lead1_worker3	full_worker3	lead1_result	full_result
XIN_ENG_20010609.0211	2	2	2	2	2	2	2	2
AFP_ENG_20060615.0549	3	3	3	3	3	3	3	3
AFP_ENG_20070417.0472	3	3	3	3	3	3	3	3
APW_ENG_20070828.1035	2	2	1	1	2	1	2	1
XIN_ENG_20090218.0036	1	1	1	1	1	1	1	1
AFP_ENG_19951121.0568	2	2	2	2	2	2	2	2
XIN_ENG_20090210.0243	2	2	1	1	2	2	2	2
XIN_ENG_20090225.0081	2	2	2	2	2	2	2	2
AFP_ENG_19960427.0279	1	1	1	1	1	1	1	1
APW_ENG_20070830.0046	1	1	1	1	1	1	1	1
XIN_ENG_20071125.0190	1	1	1	1	1	1	1	1
AFP_ENG_20060615.0411	1	1	1	1	1	1	1	1
APW_ENG_20070828.1141	1	1	1	1	1	1	1	1
XIN_ENG_20090219.0116	2	1	1	1	2	2	2	1
AFP_ENG_19951127.0492	1	1	1	1	1	1	1	1
APW_ENG_19980812.0102	2	2	1	1	2	2	2	2
AFP_ENG_20070131.0188	2	1	1	1	1	1	1	1
APW_ENG_20050619.0098	1	1	1	1	1	1	1	1
APW_ENG_19960821.0117	2	2	2	2	2	2	2	2
XIN_ENG_19980214.0102	2	2	1	1	1	1	1	1
APW_ENG_20030513.0445	1	1	1	1	1	1	1	1
NYT_ENG_20100413.0146	3	3	3	3	3	3	3	3
APW_ENG_20041204.0156	2	2	2	2	2	2	2	2
APW_ENG_20030509.0583	2	1	2	1	2	1	2	1
XIN_ENG_20010622.0105	1	1	1	1	1	1	1	1
AFP_ENG_20081103.0378	1	1	1	1	1	1	1	1
CNA_ENG_20091030.0001	1	1	1	1	1	1	1	1
XIN_ENG_20010611.0007	2	1	1	1	1	1	1	1
AFP_ENG_20060615.0671	1	1	1	1	1	1	1	1
AFP_ENG_20070104.0301	1	1	1	1	1	1	1	1
APW_ENG_19960508.4077	2	2	2	1	2	2	2	2
APW_ENG_19960513.1002	2	2	2	2	2	2	2	2
APW_ENG_19970709.0909	2	2	2	2	2	2	2	2
XIN_ENG_20010611.0051	2	2	2	2	2	2	2	2
