id	lead1_worker1	full_worker1	lead1_worker2	full_worker2	lead1_worker3	full_worker3	lead1_result	full_result
APW_ENG_20070828.1035	2	2	1	1	2	1	2	1
XIN_ENG_20090218.0036	1	1	1	1	1	1	1	1
AFP_ENG_19960427.0279	1	1	1	1	1	1	1	1
XIN_ENG_20071125.0190	1	1	1	1	1	1	1	1
AFP_ENG_20060615.0411	1	1	1	1	1	1	1	1
APW_ENG_20070828.1141	1	1	1	1	1	1	1	1
AFP_ENG_19951127.0492	1	1	1	1	1	1	1	1
APW_ENG_20050619.0098	1	1	1	1	1	1	1	1
XIN_ENG_19980214.0102	2	2	1	1	1	1	1	1
APW_ENG_20030513.0445	1	1	1	1	1	1	1	1
APW_ENG_20030509.0583	2	1	2	1	2	1	2	1
XIN_ENG_20010622.0105	1	1	1	1	1	1	1	1
AFP_ENG_20081103.0378	1	1	1	1	1	1	1	1
CNA_ENG_20091030.0001	1	1	1	1	1	1	1	1
XIN_ENG_20010611.0007	2	1	1	1	1	1	1	1
AFP_ENG_20060615.0671	1	1	1	1	1	1	1	1
AFP_ENG_19970307.0619	1	1	1	1	1	1	1	1
AFP_ENG_20070109.0277	2	2	2	2	2	2	2	2
APW_ENG_19960801.0953	2	2	2	1	2	1	2	1
APW_ENG_20090818.1072	1	1	1	1	1	1	1	1
APW_ENG_20030515.0226	1	1	1	1	1	1	1	1
APW_ENG_20090805.0565	1	1	1	1	1	1	1	1
XIN_ENG_20010617.0051	2	2	2	2	2	2	2	2
APW_ENG_20070829.0058	2	1	1	1	1	1	1	1
APW_ENG_20041222.0127	1	3	1	3	1	3	1	3
APW_ENG_20030509.0540	2	3	2	3	2	3	2	3
APW_ENG_19980812.0336	1	1	1	1	1	1	1	1
APW_ENG_20050610.0380	1	1	1	1	1	1	1	1
NYT_ENG_19980911.0121	2	1	1	1	2	1	2	1
APW_ENG_20090802.0201	1	1	1	1	1	1	1	1
APW_ENG_20070801.0947	2	1	2	1	2	1	2	1
APW_ENG_20030513.0735	2	2	2	2	2	1	2	2
XIN_ENG_20010612.0011	1	1	1	1	1	1	1	1
AFP_ENG_19970306.0402	1	1	1	1	2	1	1	1
AFP_ENG_20070417.0534	2	1	2	1	2	1	2	1
APW_ENG_19970712.0218	1	1	2	1	2	1	2	1
XIN_ENG_20090224.0409	1	1	1	1	1	1	1	1
APW_ENG_19970712.0751	2	1	1	1	1	1	1	1
XIN_ENG_20010622.0062	3	3	3	3	3	3	3	3
AFP_ENG_20060601.0325	2	1	1	1	1	1	1	1
AFP_ENG_20060626.0607	1	1	1	1	1	1	1	1
CNA_ENG_20091019.0030	1	1	1	1	1	1	1	1
APW_ENG_20070829.0429	1	1	1	1	1	1	1	1
XIN_ENG_20090219.0183	1	1	1	1	1	1	1	1
APW_ENG_20050619.0361	1	1	1	1	1	1	1	1
XIN_ENG_19980206.0066	1	1	1	1	1	1	1	1
NYT_ENG_20100418.0127	1	1	1	1	1	1	1	1
APW_ENG_20090821.0360	1	1	1	1	1	1	1	1
AFP_ENG_19951113.0233	1	1	1	1	1	1	1	1
APW_ENG_19980816.0383	1	1	1	1	1	1	1	1
APW_ENG_19980814.0610	1	1	1	1	1	1	1	1
XIN_ENG_20010622.0091	2	1	2	1	2	1	2	1
AFP_ENG_20070418.0449	3	3	3	3	3	3	3	3
AFP_ENG_20060627.0164	1	1	1	1	1	1	1	1
AFP_ENG_20070115.0434	1	1	1	1	1	1	1	1
NYT_ENG_19980909.0506	2	1	2	1	2	1	2	1
XIN_ENG_20041115.0119	1	1	1	1	1	1	1	1
APW_ENG_20070829.0803	1	1	1	1	1	1	1	1
XIN_ENG_20090218.0151	2	1	2	1	2	1	2	1
AFP_ENG_19951122.0067	1	1	1	1	1	1	1	1
XIN_ENG_20051108.0160	2	1	2	2	1	1	2	1
AFP_ENG_20081127.0261	1	1	1	1	1	1	1	1
AFP_ENG_19960423.0327	1	1	1	1	1	1	1	1
AFP_ENG_19951112.0065	1	1	1	1	1	1	1	1
APW_ENG_20070815.1188	1	1	1	1	1	1	1	1
APW_ENG_20070829.1011	2	1	2	1	2	1	2	1
NYT_ENG_20100424.0083	2	1	2	1	2	1	2	1
